COUNTRY,ISO CODE,TIME PERIOD,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED,FLAGS,LINKS,REPORT LINKS
Israel,IL,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/il.svg,/en/countries/il.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Italy,IT,July - December 2013,19,0%,19,/content/dam/transparency-twitter/flags/1x1/it.svg,/en/countries/it.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Japan,JP,July - December 2013,213,23%,253,/content/dam/transparency-twitter/flags/1x1/jp.svg,/en/countries/jp.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Kuwait,KW,July - December 2013,1,0%,2,/content/dam/transparency-twitter/flags/1x1/kw.svg,/en/countries/kw.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Lebanon,LB,July - December 2013,3*,67%,6,/content/dam/transparency-twitter/flags/1x1/lb.svg,/en/countries/lb.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Malaysia,MY,July - December 2013,1*,0%,1,/content/dam/transparency-twitter/flags/1x1/my.svg,/en/countries/my.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Maldives,MV,July - December 2013,1*,0%,1,/content/dam/transparency-twitter/flags/1x1/mv.svg,/en/countries/mv.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Mexico,MX,July - December 2013,1,0%,4,/content/dam/transparency-twitter/flags/1x1/mx.svg,/en/countries/mx.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Netherlands,NL,July - December 2013,9,56%,14,/content/dam/transparency-twitter/flags/1x1/nl.svg,/en/countries/nl.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
New Zealand,NZ,July - December 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/nz.svg,/en/countries/nz.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Norway,NO,July - December 2013,1*,100%,1,/content/dam/transparency-twitter/flags/1x1/no.svg,/en/countries/no.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Oman,OM,July - December 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/om.svg,/en/countries/om.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Pakistan,PK,July - December 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/pk.svg,/en/countries/pk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Peru,PE,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/pe.svg,/en/countries/pe.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Philippines,PH,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/ph.svg,/en/countries/ph.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Portugal,PT,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/pt.svg,/en/countries/pt.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Qatar,QA,July - December 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/qa.svg,/en/countries/qa.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Saudi Arabia,SA,July - December 2013,110*,5%,12,/content/dam/transparency-twitter/flags/1x1/sa.svg,/en/countries/sa.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Singapore,SG,July - December 2013,2,0%,2,/content/dam/transparency-twitter/flags/1x1/sg.svg,/en/countries/sg.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
South Korea,KR,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/kr.svg,/en/countries/kr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
South Sudan,SS,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/ss.svg,/en/countries/ss.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Spain,ES,July - December 2013,13,0%,26,/content/dam/transparency-twitter/flags/1x1/es.svg,/en/countries/es.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Sweden,SE,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/se.svg,/en/countries/se.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Switzerland,CH,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/ch.svg,/en/countries/ch.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Turkey,TR,July - December 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/tr.svg,/en/countries/tr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
United Arab Emirates,AE,July - December 2013,2,0%,2,/content/dam/transparency-twitter/flags/1x1/ae.svg,/en/countries/ae.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
United Kingdom,UK,July - December 2013,56,43%,117,/content/dam/transparency-twitter/flags/1x1/gb.svg,/en/countries/uk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
United States,US,July - December 2013,833,69%,"1,323",/content/dam/transparency-twitter/flags/1x1/us.svg,/en/countries/us.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Venezuela,VE,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/ve.svg,/en/countries/ve.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
TOTAL,,,"1,410",50%,"2,121",,,
