COUNTRY,ISO CODE,TIME PERIOD,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED,FLAGS,LINKS,REPORT LINKS
Ireland,IE,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/ie.svg,/en/countries/ie.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Israel,IL,July - December 2014,16,13%,23,/content/dam/transparency-twitter/flags/1x1/il.svg,/en/countries/il.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Italy,IT,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/it.svg,/en/countries/it.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Japan,JP,July - December 2014,288,36%,343,/content/dam/transparency-twitter/flags/1x1/jp.svg,/en/countries/jp.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Kenya,KE,July - December 2014,1*,0%,1,/content/dam/transparency-twitter/flags/1x1/ke.svg,/en/countries/ke.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Kuwait,KW,July - December 2014,1,0%,1,/content/dam/transparency-twitter/flags/1x1/kw.svg,/en/countries/kw.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Lebanon,LB,July - December 2014,3*,0%,3,/content/dam/transparency-twitter/flags/1x1/lb.svg,/en/countries/lb.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Lithuania,LT,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/lt.svg,/en/countries/lt.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Malaysia,MY,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/my.svg,/en/countries/my.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Maldives,MV,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/mv.svg,/en/countries/mv.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Mexico,MX,July - December 2014,7,0%,64,/content/dam/transparency-twitter/flags/1x1/mx.svg,/en/countries/mx.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Netherlands,NL,July - December 2014,4,25%,8,/content/dam/transparency-twitter/flags/1x1/nl.svg,/en/countries/nl.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
New Zealand,NZ,July - December 2014,1,0%,2,/content/dam/transparency-twitter/flags/1x1/nz.svg,/en/countries/nz.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Norway,NO,July - December 2014,1*,100%,1,/content/dam/transparency-twitter/flags/1x1/no.svg,/en/countries/no.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Oman,OM,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/om.svg,/en/countries/om.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Pakistan,PK,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/pk.svg,/en/countries/pk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Peru,PE,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/pe.svg,/en/countries/pe.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Philippines,PH,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/ph.svg,/en/countries/ph.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Portugal,PT,July - December 2014,1,0%,1,/content/dam/transparency-twitter/flags/1x1/pt.svg,/en/countries/pt.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Qatar,QA,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/qa.svg,/en/countries/qa.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Russia,RU,July - December 2014,108,0%,108,/content/dam/transparency-twitter/flags/1x1/ru.svg,/en/countries/ru.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Saudi Arabia,SA,July - December 2014,31*,6%,36,/content/dam/transparency-twitter/flags/1x1/sa.svg,/en/countries/sa.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Singapore,SG,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/sg.svg,/en/countries/sg.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
South Korea,KR,July - December 2014,4,50%,4,/content/dam/transparency-twitter/flags/1x1/kr.svg,/en/countries/kr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
South Sudan,SS,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/ss.svg,/en/countries/ss.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Spain,ES,July - December 2014,69,12%,104,/content/dam/transparency-twitter/flags/1x1/es.svg,/en/countries/es.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Sri Lanka,LK,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/lk.svg,/en/countries/lk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Sweden,SE,July - December 2014,2,0%,2,/content/dam/transparency-twitter/flags/1x1/se.svg,/en/countries/se.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Switzerland,CH,July - December 2014,3,0%,3,/content/dam/transparency-twitter/flags/1x1/ch.svg,/en/countries/ch.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Thailand,TH,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/th.svg,/en/countries/th.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Trinidad and Tobago,TT,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/tt.svg,/en/countries/tt.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Turkey,TR,July - December 2014,356,0%,496,/content/dam/transparency-twitter/flags/1x1/tr.svg,/en/countries/tr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
United Arab Emirates,AE,July - December 2014,11,0%,11,/content/dam/transparency-twitter/flags/1x1/ae.svg,/en/countries/ae.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
United Kingdom,UK,July - December 2014,116,34%,371,/content/dam/transparency-twitter/flags/1x1/gb.svg,/en/countries/uk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
United States,US,July - December 2014,"1,622",80%,"3,299",/content/dam/transparency-twitter/flags/1x1/us.svg,/en/countries/us.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Venezuela,VE,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/ve.svg,/en/countries/ve.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
TOTAL,,,"2,871",52%,"7,144",,,
