COUNTRY,ISO CODE,TIME PERIOD,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED,FLAGS,LINKS,REPORT LINKS
Japan,JP,July - December 2012,62,5%,75,/content/dam/transparency-twitter/flags/1x1/jp.svg,/en/countries/jp.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Mexico,MX,July - December 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/mx.svg,/en/countries/mx.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Netherlands,NL,July - December 2012,3,33%,3,/content/dam/transparency-twitter/flags/1x1/nl.svg,/en/countries/nl.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Peru,PE,July - December 2012,-,-,-,/content/dam/transparency-twitter/flags/1x1/pe.svg,/en/countries/pe.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Portugal,PT,July - December 2012,-,-,-,/content/dam/transparency-twitter/flags/1x1/pt.svg,/en/countries/pt.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Qatar,QA,July - December 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/qa.svg,/en/countries/qa.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
South Korea,KR,July - December 2012,-,-,-,/content/dam/transparency-twitter/flags/1x1/kr.svg,/en/countries/kr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
South Sudan,SS,July - December 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/ss.svg,/en/countries/ss.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Spain,ES,July - December 2012,5,0%,6,/content/dam/transparency-twitter/flags/1x1/es.svg,/en/countries/es.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Sweden,SE,July - December 2012,-,-,-,/content/dam/transparency-twitter/flags/1x1/se.svg,/en/countries/se.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Switzerland,CH,July - December 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/ch.svg,/en/countries/ch.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Turkey,TR,July - December 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/tr.svg,/en/countries/tr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
United Kingdom,UK,July - December 2012,25,4%,27,/content/dam/transparency-twitter/flags/1x1/gb.svg,/en/countries/uk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
United States,US,July - December 2012,815,69%,"1,145",/content/dam/transparency-twitter/flags/1x1/us.svg,/en/countries/us.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
TOTAL,,,"1,009",57%,"1,433",,,
